vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount
VTS,1,1,1260,5.36,CSH,19
VTS,1,1,360,0.62,CSH,5.5
VTS,1,1,1080,3.75,CRD,15
VTS,1,1,540,1.68,CSH,8.5
VTS,1,1,180,1.06,CRD,5
VTS,1,1,900,8.02,CRD,22.5
VTS,1,1,1140,10.07,CRD,28.5
VTS,1,1,1080,5.25,CSH,19
VTS,1,2,840,3.59,CRD,13.5
VTS,1,1,420,1.31,CRD,7
VTS,1,1,1080,3.47,CRD,14.5
VTS,1,1,300,0.91,CSH,5.5
VTS,1,1,780,2.44,CRD,11.5
VTS,3,1,1980,15.68,CRD,62.5
VTS,1,1,300,1.02,CRD,6
VTS,1,1,780,1.91,CSH,9.5
VTS,1,1,240,1.4,CRD,6
VTS,1,1,180,0.68,CSH,4
VTS,1,1,360,1.5,CSH,7
VTS,1,1,480,0.99,CSH,6.5
VTS,1,1,660,1.63,CRD,9
VTS,1,1,900,1.64,CSH,10.5
VTS,1,2,840,2.19,CRD,11
VTS,1,1,660,1.5,CSH,8.5
VTS,2,1,3720,21.33,CSH,52
VTS,1,1,360,1.33,CSH,7
VTS,1,1,1200,4.02,CRD,16.5
VTS,1,1,360,0.7,CSH,5.5
VTS,1,1,480,1.45,CRD,7.5
VTS,1,1,960,2.62,CSH,12.5
VTS,1,1,660,1.64,CSH,9
VTS,1,2,360,0.94,CSH,6
VTS,1,1,540,0.77,CSH,7
VTS,1,1,900,2.58,CSH,11.5
VTS,1,1,1200,4.03,CSH,17
VTS,1,1,840,1.96,CRD,11
VTS,1,1,1380,8.02,CRD,25
VTS,1,1,240,0.7,CSH,5
VTS,1,1,480,2.07,CRD,8.5
VTS,1,1,840,3.08,CSH,12.5
VTS,1,1,600,3.13,CRD,11
VTS,1,1,600,1.73,CRD,8.5
VTS,1,1,180,0.62,CSH,4
VTS,1,1,720,3.38,CSH,12.5
VTS,1,1,120,0.51,CSH,3.5
VTS,1,1,1080,3.39,CRD,14
VTS,1,1,660,1.8,CSH,9.5
VTS,1,1,600,0.97,CSH,8
VTS,1,1,540,1.89,CSH,8.5
VTS,1,1,780,2.51,CSH,11.5
VTS,1,1,120,0.38,CSH,3.5
VTS,1,1,720,1.98,CSH,10
VTS,1,2,480,2.35,CSH,9.5
VTS,1,1,300,1.5,CSH,6.5
VTS,1,1,960,1.97,CRD,11.5
VTS,1,1,900,2.61,CSH,12
VTS,1,1,420,1.39,CSH,7
VTS,1,1,300,1.13,CSH,6
VTS,1,1,660,2.05,CSH,9
VTS,1,1,1200,4.93,CRD,18.5
VTS,1,1,720,2.62,CRD,11.5
VTS,1,1,1440,3.91,CRD,18
VTS,1,1,1380,4.14,CRD,18
VTS,1,1,660,2.52,CSH,10.5
VTS,1,1,480,0.7,CRD,7
VTS,1,1,1260,2.47,CSH,14.5
VTS,1,1,720,2.1,CSH,10
VTS,1,2,420,1.57,CSH,7.5
VTS,1,1,720,1.01,CSH,8.5
VTS,1,1,600,1.21,CRD,7.5
VTS,1,1,300,0.99,CSH,5.5
VTS,1,1,120,0.48,CSH,3.5
VTS,1,1,1140,5.06,CSH,18
VTS,1,2,420,1.7,CSH,7.5
VTS,1,1,1320,4.48,CRD,18
VTS,1,1,840,1.28,CRD,9.5
VTS,1,1,420,1.3,CRD,7
VTS,1,1,480,1.44,CSH,7
VTS,1,1,1080,3.18,CSH,14
VTS,1,1,540,2.06,CSH,8.5
VTS,1,1,180,0.58,CSH,4
VTS,1,1,600,1.99,CSH,9
VTS,1,1,780,2.72,CRD,11.5
VTS,1,1,1500,6.32,CRD,21.5
VTS,1,1,360,1.15,CSH,6.5
VTS,1,1,660,2.58,CSH,10.5
VTS,1,1,120,0.32,CRD,3.5
VTS,1,1,360,1.4,CSH,7
VTS,1,1,960,3.8,CSH,15
VTS,1,1,1080,2.18,CRD,13
VTS,1,1,240,0.93,CSH,5.5
VTS,1,1,300,1.43,CSH,6.5
VTS,1,1,960,9.04,CRD,26
VTS,1,1,300,0.5,CRD,5
VTS,1,1,600,3.38,CRD,12
VTS,1,1,1080,1.02,CSH,11.5
VTS,1,2,1320,7.63,CRD,24.5
VTS,1,1,420,1.52,CRD,7
VTS,1,1,780,1.1,CSH,9
VTS,1,1,420,1.27,CSH,6.5
VTS,1,1,2640,7.14,CSH,31
VTS,1,1,1200,2.21,CRD,14
VTS,1,1,300,0.83,CSH,6
VTS,1,1,540,0.97,CRD,7.5
VTS,1,1,360,0.95,CSH,6
VTS,1,1,360,0.49,CSH,5.5
VTS,1,1,300,1.47,CRD,6.5
VTS,1,1,780,2.59,CRD,11.5
VTS,1,1,900,2.7,CSH,12.5
VTS,1,2,780,3.44,CSH,13
VTS,1,1,840,4.18,CSH,14.5
VTS,1,2,360,0.69,CSH,5.5
VTS,1,2,660,1.41,CSH,8.5
VTS,1,1,360,1.14,CSH,6.5
VTS,1,1,480,1.64,CRD,8
VTS,1,1,420,1.25,CSH,6.5
VTS,1,1,1080,2.54,CSH,13.5
VTS,1,1,600,1.09,CRD,7.5
VTS,1,1,360,1.28,CRD,7
VTS,1,1,1500,3.93,CSH,18
VTS,1,2,1260,4,CRD,16.5
VTS,1,1,60,0,CSH,2.5
VTS,1,1,900,2.14,CSH,11
VTS,1,2,120,0.98,CSH,4.5
VTS,1,1,420,1.35,CRD,7
VTS,1,2,600,2.23,CRD,9.5
VTS,1,1,1140,10.5,CRD,29.5
VTS,1,1,1380,10,CSH,29.5
VTS,1,1,540,1.58,CRD,8
VTS,1,1,840,3.21,CSH,13
VTS,1,1,300,1.12,CRD,6
VTS,1,1,600,1.22,CSH,8
VTS,1,1,660,1.25,CSH,9
VTS,1,1,1260,3.8,CRD,16
VTS,1,1,1140,2.12,CRD,13
VTS,1,1,240,0.68,CSH,5
VTS,1,1,900,5.95,CRD,19
