vendor_id,rate_code,passenger_count,trip_time_in_secs,trip_distance,payment_type,fare_amount
CMT,1,1,369,1,CRD,6
CMT,2,3,3504,18.9,CRD,52
CMT,1,1,422,1,CRD,7
CMT,1,1,578,1.5,CRD,8.5
CMT,1,1,999,2.1,CSH,11.5
CMT,1,1,188,0.7,CSH,4.5
CMT,1,1,307,0.6,CSH,5
CMT,1,1,500,1.2,CSH,7.5
CMT,1,1,1102,1.3,CSH,12.5
CMT,1,2,1794,6.9,CRD,25.5
VTS,1,1,300,0.72,CSH,5
VTS,1,1,540,1.15,CSH,7
VTS,1,2,1200,5.09,CSH,19.5
VTS,1,1,180,1.01,CSH,5.5
VTS,1,1,300,1.01,CRD,5.5
VTS,1,2,540,1.72,CSH,8.5
VTS,1,1,480,1.94,CSH,8
CMT,1,1,348,0.8,CRD,6
CMT,1,1,548,0.7,CRD,7.5
CMT,1,2,255,0.4,CRD,4.5
CMT,1,1,1569,10.2,CSH,30.5
CMT,1,2,452,1.2,CSH,7
CMT,1,1,340,1,CRD,6
CMT,1,1,319,1,CRD,6
VTS,2,1,240,0.44,CRD,52
VTS,1,1,0,0,CSH,2.5
VTS,1,3,420,1.31,CSH,7
VTS,1,1,240,0.51,CRD,5
VTS,1,1,300,2.34,CSH,8
VTS,1,1,600,1.81,CRD,8.5
VTS,1,2,660,1.79,CRD,9
VTS,1,1,1140,2.58,CRD,13.5
VTS,1,2,1500,12.75,CSH,36.5
VTS,1,1,720,2.27,CRD,10.5
VTS,1,1,660,4.07,CRD,13
VTS,1,1,420,2.57,CRD,9.5
VTS,1,1,300,1.08,CRD,6
VTS,1,1,600,1.78,CRD,8.5
VTS,1,1,480,1.31,CRD,8
VTS,1,2,660,2.04,CRD,9.5
VTS,1,1,420,1.43,CRD,6.5
VTS,1,3,1140,1.27,CSH,12
VTS,1,1,180,0.22,CRD,3.5
CMT,1,1,402,1.3,CRD,7
CMT,1,1,924,2,CRD,11
CMT,1,1,723,2.1,CRD,10
CMT,1,1,1000,3,CRD,13.5
CMT,1,1,785,2,CRD,10.5
CMT,1,1,369,0.9,CRD,6
CMT,1,1,1284,1.5,CSH,13.5
VTS,2,2,1680,17.24,CSH,52
VTS,2,1,2220,19.69,CRD,52
VTS,1,1,360,0.86,CSH,5.5
